type,temp,hum,depth_prev,depth,label
FLOOD,28.1,46.96,0.83,0.8,Normal
FLOOD,28.04,60.99,1.98,2.16,Normal
FLOOD,22.28,90.51,29.99,33.15,Extreme
FLOOD,24.38,98.35,21.12,35.08,Extreme
FLOOD,23.59,86.81,9.44,13.17,Severe
FLOOD,25.58,50.74,1.63,1.97,Normal
FLOOD,28.54,71.94,0.64,3.18,Moderate
FLOOD,29.26,60.57,0.19,0.14,Normal
FLOOD,25.62,93.24,6.3,26.37,Extreme
FLOOD,19.33,90.51,8.97,12.82,Severe
FLOOD,26.99,89.79,8.53,12.89,Severe
FLOOD,22.58,73.23,0.66,3.16,Moderate
FLOOD,25.8,92.44,11.39,14.96,Severe
FLOOD,23.03,93.87,3.43,8.24,Severe
FLOOD,26.37,99.0,5.38,21.49,Extreme
FLOOD,18.84,84.72,10.9,14.87,Severe
FLOOD,27.3,93.88,7.13,39.9,Extreme
FLOOD,19.11,83.46,3.31,8.18,Severe
FLOOD,23.91,70.82,0.37,3.22,Moderate
FLOOD,30.97,54.12,2.32,2.68,Normal
FLOOD,23.02,70.57,2.77,4.43,Moderate
FLOOD,26.74,62.87,1.84,2.26,Normal
FLOOD,27.42,90.29,33.66,39.85,Extreme
FLOOD,25.35,42.52,1.17,1.67,Normal
FLOOD,24.73,75.22,0.82,7.35,Moderate
FLOOD,29.94,73.39,3.18,5.83,Moderate
FLOOD,22.38,71.55,3.52,4.31,Moderate
FLOOD,23.57,92.6,22.46,45.46,Extreme
FLOOD,21.9,72.54,1.95,5.99,Moderate
FLOOD,21.85,76.74,6.37,7.19,Moderate
FLOOD,32.95,46.82,2.31,2.45,Normal
FLOOD,26.19,96.53,28.06,44.38,Extreme
FLOOD,28.79,49.41,2.85,2.77,Normal
FLOOD,28.82,66.85,1.2,1.19,Normal
FLOOD,16.66,78.02,3.81,5.89,Moderate
FLOOD,29.59,95.2,15.47,17.85,Extreme
FLOOD,31.19,53.59,1.43,1.39,Normal
FLOOD,19.18,72.4,6.32,7.92,Moderate
FLOOD,28.99,87.42,7.42,24.42,Extreme
FLOOD,27.03,89.13,6.36,9.56,Severe
FLOOD,27.2,61.92,0.05,0.34,Normal
FLOOD,23.93,81.76,10.58,12.2,Severe
FLOOD,29.4,77.59,2.67,4.56,Moderate
FLOOD,23.33,91.68,6.42,16.6,Extreme
FLOOD,29.22,76.35,0.13,3.3,Moderate
FLOOD,18.6,88.63,3.6,8.6,Severe
FLOOD,23.03,90.63,12.56,30.06,Extreme
FLOOD,31.04,47.57,0.98,1.37,Normal
FLOOD,18.79,75.32,2.68,7.86,Moderate
FLOOD,24.61,86.5,26.23,41.99,Extreme
FLOOD,28.23,88.04,16.92,45.12,Extreme
FLOOD,25.92,93.77,11.16,13.11,Severe
FLOOD,27.91,99.98,13.26,31.74,Extreme
FLOOD,19.02,73.1,4.73,7.44,Moderate
FLOOD,26.74,84.54,7.71,12.49,Severe
FLOOD,31.4,44.92,1.34,1.69,Normal
FLOOD,23.64,83.65,8.51,11.3,Severe
FLOOD,20.01,85.86,26.18,35.96,Extreme
FLOOD,25.96,64.09,2.66,2.87,Normal
FLOOD,28.73,79.77,3.5,4.38,Moderate
FLOOD,20.88,70.07,2.72,6.47,Moderate
FLOOD,22.14,89.47,12.1,14.38,Severe
FLOOD,30.3,68.17,1.47,1.9,Normal
FLOOD,29.51,50.74,0.21,0.28,Normal
FLOOD,21.03,89.99,5.0,11.65,Severe
FLOOD,32.91,57.47,0.71,0.76,Normal
FLOOD,18.24,86.33,3.65,9.07,Severe
FLOOD,29.87,73.94,2.08,5.16,Moderate
FLOOD,26.22,87.9,5.45,13.96,Severe
FLOOD,25.0,85.6,5.87,12.18,Severe
FLOOD,29.51,91.17,26.27,29.41,Extreme
FLOOD,18.13,93.45,4.65,11.17,Severe
FLOOD,28.03,88.63,17.49,29.99,Extreme
FLOOD,30.19,56.3,1.01,1.14,Normal
FLOOD,29.73,56.26,1.72,1.67,Normal
FLOOD,20.72,94.39,4.85,9.0,Severe
FLOOD,23.98,71.58,2.51,6.35,Moderate
FLOOD,27.21,84.03,11.16,12.26,Severe
FLOOD,21.68,89.29,20.16,32.26,Extreme
FLOOD,27.3,80.18,12.29,14.72,Severe
FLOOD,29.06,78.56,3.77,7.06,Moderate
FLOOD,21.68,91.17,5.7,14.59,Severe
FLOOD,23.4,94.92,3.62,11.23,Severe
FLOOD,15.31,73.95,0.38,6.55,Moderate
FLOOD,28.42,58.4,0.14,0.08,Normal
FLOOD,20.18,79.36,2.56,3.83,Moderate
FLOOD,21.89,91.29,13.34,39.17,Extreme
FLOOD,24.02,92.83,15.71,44.44,Extreme
FLOOD,27.91,53.93,1.71,2.15,Normal
FLOOD,24.46,86.13,30.97,49.91,Extreme
FLOOD,25.5,97.14,13.33,15.62,Extreme
FLOOD,19.93,88.04,7.29,8.91,Severe
FLOOD,17.72,72.26,1.42,5.77,Moderate
FLOOD,30.77,69.38,1.09,1.53,Normal
FLOOD,19.77,81.39,7.75,13.65,Severe
FLOOD,20.67,99.54,18.51,44.28,Extreme
FLOOD,31.74,63.67,1.71,2.2,Normal
FLOOD,25.32,50.4,2.48,2.48,Normal
FLOOD,26.33,82.4,3.82,8.22,Severe
FLOOD,27.56,52.61,0.63,0.77,Normal
FLOOD,20.72,73.02,2.69,6.81,Moderate
FLOOD,22.66,79.66,2.66,3.25,Moderate
FLOOD,28.82,73.84,0.95,4.55,Moderate
FLOOD,24.59,87.85,16.79,25.45,Extreme
FLOOD,32.14,53.0,0.79,1.11,Normal
FLOOD,30.99,40.42,2.63,2.62,Normal
FLOOD,17.17,79.07,1.56,4.26,Moderate
FLOOD,20.51,94.52,3.5,12.54,Severe
FLOOD,21.54,96.77,31.93,47.29,Extreme
FLOOD,23.7,83.33,4.32,9.7,Severe
FLOOD,27.62,92.18,7.06,13.1,Severe
FLOOD,23.43,90.67,9.66,14.61,Severe
FLOOD,24.0,84.15,8.95,10.35,Severe
FLOOD,24.81,88.86,13.52,14.52,Severe
FLOOD,18.73,72.28,5.6,6.64,Moderate
FLOOD,23.11,99.83,10.57,21.67,Extreme
FLOOD,23.81,91.49,18.07,33.24,Extreme
FLOOD,22.56,77.58,0.22,3.45,Moderate
FLOOD,25.66,87.07,29.71,33.62,Extreme
FLOOD,30.75,51.8,0.92,1.32,Normal
FLOOD,29.71,68.86,0.28,0.32,Normal
FLOOD,27.78,83.16,7.22,12.64,Severe
FLOOD,20.97,88.71,21.64,40.06,Extreme
FLOOD,24.61,85.87,6.44,11.45,Severe
FLOOD,27.64,70.64,5.55,6.25,Moderate
FLOOD,30.0,42.64,1.17,1.44,Normal
FLOOD,20.79,85.44,12.46,13.5,Severe
FLOOD,29.31,97.91,43.21,49.9,Extreme
FLOOD,30.77,64.25,2.84,2.84,Normal
FLOOD,28.54,89.89,5.77,16.93,Extreme
FLOOD,23.62,72.28,2.76,4.05,Moderate
FLOOD,27.89,44.97,1.35,1.58,Normal
FLOOD,27.09,99.53,18.71,24.37,Extreme
FLOOD,30.76,46.52,1.39,1.49,Normal
FLOOD,32.58,66.29,0.2,0.58,Normal
FLOOD,27.23,74.75,2.2,3.21,Moderate
FLOOD,28.64,66.99,0.13,0.29,Normal
FLOOD,26.29,60.86,0.38,0.48,Normal
FLOOD,18.63,78.02,1.01,4.61,Moderate
FLOOD,22.68,78.34,2.91,6.58,Moderate
FLOOD,22.27,93.09,3.66,11.94,Severe
FLOOD,23.51,78.47,0.59,3.17,Moderate
FLOOD,25.01,91.16,3.65,13.04,Severe
FLOOD,15.27,74.95,0.27,3.89,Moderate
FLOOD,22.19,77.24,1.26,5.06,Moderate
FLOOD,27.72,66.52,1.89,2.11,Normal
FLOOD,27.14,88.36,33.01,38.49,Extreme
FLOOD,23.35,85.71,12.92,42.23,Extreme
FLOOD,26.17,95.88,8.27,19.43,Extreme
FLOOD,27.16,99.45,15.62,20.85,Extreme
FLOOD,22.99,93.09,16.41,30.17,Extreme
FLOOD,21.97,72.13,7.15,7.83,Moderate
FLOOD,23.19,88.23,6.06,11.12,Severe
FLOOD,20.65,71.27,2.02,4.2,Moderate
FLOOD,18.94,73.26,1.93,4.12,Moderate
FLOOD,29.47,99.1,23.71,31.39,Extreme
FLOOD,27.77,58.55,0.43,0.82,Normal
FLOOD,20.53,93.31,6.82,12.9,Severe
FLOOD,30.42,42.31,2.66,2.9,Normal
FLOOD,29.68,53.08,2.92,2.99,Normal
FLOOD,28.82,75.9,1.51,4.12,Moderate
FLOOD,30.18,50.97,0.76,1.12,Normal
FLOOD,24.17,91.68,5.89,9.53,Severe
FLOOD,21.23,72.53,1.64,3.43,Moderate
FLOOD,20.0,75.58,0.1,6.88,Moderate
FLOOD,23.06,88.48,7.33,22.35,Extreme
FLOOD,27.31,88.15,3.6,14.12,Severe
FLOOD,32.12,54.1,0.09,0.05,Normal
FLOOD,29.7,74.2,3.34,4.09,Moderate
FLOOD,30.8,69.06,1.91,2.17,Normal
FLOOD,27.75,70.01,2.4,3.05,Moderate
FLOOD,20.67,88.18,9.25,17.75,Extreme
FLOOD,29.56,79.97,3.65,7.9,Moderate
FLOOD,30.15,51.53,2.11,2.22,Normal
FLOOD,19.3,75.13,2.88,7.8,Moderate
FLOOD,26.41,52.52,0.17,0.32,Normal
FLOOD,31.03,51.68,1.99,2.32,Normal
FLOOD,29.34,92.47,21.57,40.56,Extreme
FLOOD,29.19,42.42,0.65,0.89,Normal
FLOOD,25.52,71.56,4.49,6.5,Moderate
FLOOD,23.4,73.62,4.17,4.78,Moderate
FLOOD,23.82,72.12,2.84,4.12,Moderate
FLOOD,31.14,49.95,1.88,2.02,Normal
FLOOD,21.53,81.03,7.51,13.14,Severe
FLOOD,32.97,66.36,0.99,1.07,Normal
FLOOD,26.28,85.58,26.85,49.9,Extreme
FLOOD,25.84,87.98,25.46,48.56,Extreme
FLOOD,18.91,91.17,7.95,9.66,Severe
FLOOD,24.87,75.64,1.04,4.01,Moderate
FLOOD,22.9,76.59,1.56,3.14,Moderate
FLOOD,29.68,92.82,14.78,23.71,Extreme
FLOOD,21.74,98.52,39.03,48.23,Extreme
FLOOD,20.94,74.13,2.07,3.74,Moderate
FLOOD,25.02,86.44,6.5,13.21,Severe
FLOOD,27.88,93.82,16.82,23.51,Extreme
FLOOD,27.55,41.89,1.55,1.62,Normal
FLOOD,26.68,48.91,0.03,0.11,Normal
FLOOD,26.6,92.25,21.27,42.74,Extreme
FLOOD,16.58,73.7,5.76,6.8,Moderate
FLOOD,24.71,81.12,3.96,12.98,Severe
FLOOD,20.06,89.78,37.01,45.14,Extreme
FLOOD,19.63,80.6,5.67,14.36,Severe
FLOOD,26.35,60.19,0.47,0.75,Normal
FLOOD,27.64,91.8,9.09,11.85,Severe
FLOOD,15.85,77.6,5.07,6.05,Moderate
FLOOD,17.7,71.68,0.88,3.53,Moderate
FLOOD,16.47,76.98,3.12,4.49,Moderate
FLOOD,22.92,84.9,5.7,13.6,Severe
FLOOD,29.21,77.15,3.33,6.46,Moderate
FLOOD,25.06,88.18,6.47,10.13,Severe
FLOOD,18.97,94.42,8.33,11.9,Severe
FLOOD,26.85,86.2,7.5,15.66,Extreme
FLOOD,22.07,90.16,9.2,14.21,Severe
FLOOD,27.29,89.26,5.92,20.22,Extreme
FLOOD,27.25,84.81,5.95,8.25,Severe
FLOOD,25.57,42.15,0.02,0.17,Normal
FLOOD,21.81,87.51,4.37,9.28,Severe
FLOOD,16.42,77.35,1.83,7.25,Moderate
FLOOD,27.81,71.76,1.25,4.43,Moderate
FLOOD,19.06,80.24,9.96,14.77,Severe
FLOOD,25.07,94.03,12.2,17.09,Extreme
FLOOD,24.43,75.93,1.04,3.19,Moderate
FLOOD,20.95,91.68,6.77,19.72,Extreme
FLOOD,23.96,78.33,2.38,3.27,Moderate
FLOOD,19.6,91.85,8.45,12.71,Severe
FLOOD,15.29,70.23,0.85,7.14,Moderate
FLOOD,28.82,78.98,4.16,5.12,Moderate
FLOOD,21.35,88.58,25.42,46.85,Extreme
FLOOD,15.11,77.38,5.15,6.63,Moderate
FLOOD,15.1,77.37,3.86,7.9,Moderate
FLOOD,26.14,53.75,0.58,0.55,Normal
FLOOD,23.53,82.07,3.48,13.9,Severe
FLOOD,20.54,76.97,2.32,7.97,Moderate
FLOOD,19.78,79.96,2.01,3.05,Moderate
FLOOD,18.76,70.05,3.17,4.45,Moderate
FLOOD,24.16,93.81,28.65,33.42,Extreme
FLOOD,29.18,59.15,1.92,2.35,Normal
FLOOD,25.33,89.51,9.1,30.56,Extreme
FLOOD,29.53,92.25,7.62,20.5,Extreme
FLOOD,23.32,83.19,3.97,9.42,Severe
FLOOD,21.06,92.87,8.01,25.71,Extreme
FLOOD,21.21,84.8,9.11,12.0,Severe
FLOOD,20.49,93.71,14.44,18.49,Extreme
FLOOD,29.02,73.37,5.39,7.8,Moderate
FLOOD,26.17,98.14,20.49,27.96,Extreme
FLOOD,25.26,44.15,0.8,0.74,Normal
FLOOD,22.48,86.67,11.97,42.06,Extreme
FLOOD,18.27,72.91,0.04,4.16,Moderate
FLOOD,29.28,94.54,18.04,24.04,Extreme
FLOOD,29.94,56.71,1.39,1.72,Normal
FLOOD,25.29,81.86,8.12,9.7,Severe
FLOOD,27.69,89.08,12.43,14.33,Severe
FLOOD,26.18,72.17,2.73,3.72,Moderate
FLOOD,27.6,79.23,3.22,4.27,Moderate
FLOOD,26.36,57.42,0.77,0.69,Normal
FLOOD,31.83,63.9,0.31,0.23,Normal
FLOOD,22.01,96.75,26.08,35.46,Extreme
FLOOD,18.61,88.76,7.21,8.27,Severe
FLOOD,29.6,73.78,1.53,4.03,Moderate
FLOOD,22.84,85.52,8.52,13.22,Severe
FLOOD,26.33,53.18,2.5,2.63,Normal
FLOOD,28.14,58.23,0.51,0.74,Normal
FLOOD,20.81,79.32,0.75,7.8,Moderate
FLOOD,19.8,85.56,6.76,8.1,Severe
FLOOD,23.52,93.54,39.59,46.13,Extreme
FLOOD,28.5,85.57,23.36,35.32,Extreme
FLOOD,18.47,77.74,2.63,3.97,Moderate
FLOOD,20.56,87.95,5.89,9.68,Severe
FLOOD,17.04,78.43,0.61,6.74,Moderate
FLOOD,19.62,75.69,2.52,5.0,Moderate
FLOOD,27.38,82.21,10.13,11.36,Severe
FLOOD,17.87,75.17,4.23,6.84,Moderate
FLOOD,24.87,94.07,16.12,24.6,Extreme
FLOOD,17.44,71.76,0.79,4.68,Moderate
FLOOD,23.77,93.83,3.64,9.22,Severe
FLOOD,25.54,91.01,4.55,14.57,Severe
FLOOD,15.55,75.25,0.14,3.37,Moderate
FLOOD,22.12,99.18,20.78,45.78,Extreme
FLOOD,19.64,85.47,10.36,11.84,Severe
FLOOD,32.15,51.19,0.29,0.36,Normal
FLOOD,26.03,83.45,7.59,13.78,Severe
FLOOD,29.04,79.25,5.41,7.75,Moderate
FLOOD,21.63,99.87,10.81,35.93,Extreme
FLOOD,20.68,81.38,6.62,9.01,Severe
FLOOD,25.75,66.38,0.02,0.03,Normal
FLOOD,27.7,91.39,10.41,27.02,Extreme
FLOOD,29.63,90.83,14.97,25.13,Extreme
FLOOD,15.55,77.21,1.92,4.28,Moderate
FLOOD,27.25,55.17,2.28,2.54,Normal
FLOOD,20.3,91.67,16.36,25.32,Extreme
FLOOD,21.3,93.29,27.29,31.43,Extreme
FLOOD,27.24,85.12,25.85,39.77,Extreme
FLOOD,28.45,91.59,12.19,20.1,Extreme
FLOOD,32.58,48.46,1.15,1.24,Normal
FLOOD,25.05,74.49,2.54,7.14,Moderate
FLOOD,19.56,92.39,9.39,11.93,Severe
FLOOD,19.67,77.3,1.95,5.69,Moderate
FLOOD,26.68,87.51,4.08,8.49,Severe
FLOOD,25.53,59.14,1.6,1.66,Normal
FLOOD,26.82,71.0,0.68,3.43,Moderate
FLOOD,24.46,92.2,7.2,11.96,Severe
FLOOD,24.96,75.09,0.74,3.3,Moderate
FLOOD,20.85,77.0,0.54,4.66,Moderate
FLOOD,20.07,90.79,6.13,8.82,Severe
FLOOD,16.33,76.49,2.01,3.6,Moderate
FLOOD,22.01,89.55,11.73,17.64,Extreme
FLOOD,30.56,52.86,0.57,0.59,Normal
FLOOD,23.06,83.51,3.88,11.6,Severe
FLOOD,20.69,91.91,11.16,32.35,Extreme
FLOOD,28.45,71.77,3.09,4.06,Moderate
FLOOD,18.3,75.92,4.12,6.42,Moderate
FLOOD,30.27,53.77,2.44,2.37,Normal
FLOOD,26.05,87.31,6.83,8.06,Severe
FLOOD,28.47,59.42,1.02,1.37,Normal
FLOOD,29.53,92.3,5.74,20.93,Extreme
FLOOD,32.68,60.62,2.78,2.78,Normal
FLOOD,22.14,98.59,29.05,39.93,Extreme
FLOOD,28.91,41.17,1.05,1.46,Normal
FLOOD,28.74,91.59,10.99,19.94,Extreme
FLOOD,20.96,99.39,15.39,29.8,Extreme
FLOOD,24.51,94.88,17.8,32.79,Extreme
FLOOD,27.51,50.46,1.23,1.45,Normal
FLOOD,26.95,89.56,16.25,20.68,Extreme
FLOOD,24.45,88.89,4.03,10.74,Severe
FLOOD,24.14,85.7,6.63,9.36,Severe
FLOOD,17.49,75.04,3.36,6.85,Moderate
FLOOD,25.59,58.82,0.98,1.41,Normal
FLOOD,28.99,91.28,14.06,18.15,Extreme
FLOOD,23.79,87.94,16.54,29.64,Extreme
FLOOD,23.22,79.89,1.74,3.89,Moderate
FLOOD,25.67,77.8,4.77,7.12,Moderate
FLOOD,31.97,49.61,0.8,1.01,Normal
FLOOD,23.27,97.24,21.62,34.04,Extreme
FLOOD,19.04,76.13,4.5,6.47,Moderate
FLOOD,24.29,91.05,6.74,25.13,Extreme
FLOOD,20.66,98.03,21.17,47.12,Extreme
FLOOD,30.46,48.17,1.54,1.82,Normal
FLOOD,24.83,90.61,18.35,37.48,Extreme
FLOOD,27.38,57.68,0.74,0.87,Normal
FLOOD,23.97,93.23,6.73,9.56,Severe
FLOOD,18.46,81.99,4.88,12.82,Severe
FLOOD,27.2,53.38,1.34,1.49,Normal
FLOOD,20.03,94.87,5.56,40.38,Extreme
FLOOD,32.85,67.98,2.01,2.08,Normal
FLOOD,30.72,64.51,2.26,2.35,Normal
FLOOD,26.64,93.36,25.53,45.85,Extreme
FLOOD,18.68,74.63,2.72,5.51,Moderate
FLOOD,30.03,68.03,1.0,1.3,Normal
FLOOD,28.72,91.08,28.04,48.94,Extreme
FLOOD,19.42,94.42,3.43,14.04,Severe
FLOOD,25.59,90.89,14.24,17.83,Extreme
FLOOD,27.23,94.54,11.6,13.74,Severe
FLOOD,28.84,96.74,26.73,47.21,Extreme
FLOOD,24.45,71.53,6.7,7.45,Moderate
FLOOD,18.08,80.71,11.39,12.56,Severe
FLOOD,23.84,86.74,3.11,10.65,Severe
FLOOD,21.88,91.43,22.57,40.31,Extreme
FLOOD,15.3,76.4,3.9,5.93,Moderate
FLOOD,20.78,90.7,19.46,37.7,Extreme
FLOOD,19.85,92.31,8.69,12.79,Severe
FLOOD,29.23,55.88,1.36,1.6,Normal
FLOOD,32.93,61.83,1.66,1.86,Normal
FLOOD,26.71,86.39,6.07,34.15,Extreme
FLOOD,20.09,91.67,7.74,10.34,Severe
FLOOD,28.56,75.73,5.23,7.85,Moderate
FLOOD,31.13,45.76,0.48,0.57,Normal
FLOOD,28.24,98.44,8.11,26.69,Extreme
FLOOD,27.44,88.18,11.45,14.93,Severe
FLOOD,27.31,69.0,2.4,2.61,Normal
FLOOD,22.94,90.89,8.07,11.19,Severe
FLOOD,25.81,68.97,2.07,2.06,Normal
FLOOD,25.65,75.92,0.1,4.35,Moderate
FLOOD,26.76,49.68,2.75,2.77,Normal
FLOOD,23.76,86.52,15.26,35.59,Extreme
FLOOD,27.21,79.28,2.31,7.41,Moderate
FLOOD,30.27,51.97,1.33,1.41,Normal
FLOOD,27.6,44.14,1.92,2.16,Normal
FLOOD,20.59,95.33,10.95,41.05,Extreme
FLOOD,23.64,93.14,21.78,33.16,Extreme
FLOOD,19.68,75.46,2.36,3.35,Moderate
FLOOD,21.01,87.07,7.75,28.19,Extreme
FLOOD,16.88,78.42,0.91,4.37,Moderate
FLOOD,23.71,87.29,5.21,9.91,Severe
FLOOD,25.04,72.59,1.58,4.1,Moderate
FLOOD,32.48,51.48,0.61,0.92,Normal
FLOOD,22.89,80.18,6.68,12.01,Severe
FLOOD,26.3,88.37,7.97,10.98,Severe
FLOOD,27.74,78.68,5.25,7.53,Moderate
FLOOD,26.87,82.16,5.95,9.5,Severe
FLOOD,26.42,84.83,6.66,13.97,Severe
FLOOD,30.05,69.49,1.4,1.78,Normal
FLOOD,20.15,76.85,1.49,6.28,Moderate
FLOOD,26.64,87.14,4.71,10.46,Severe
FLOOD,23.89,72.58,1.67,5.6,Moderate
FLOOD,15.14,79.58,0.47,3.19,Moderate
FLOOD,25.26,69.13,0.14,0.23,Normal
FLOOD,23.73,91.77,6.35,9.11,Severe
FLOOD,23.87,92.62,12.09,14.96,Severe
FLOOD,29.09,55.9,0.14,0.19,Normal
FLOOD,30.81,69.87,1.67,2.15,Normal
FLOOD,29.55,88.78,11.85,36.47,Extreme
FLOOD,26.96,88.37,22.47,40.84,Extreme
FLOOD,31.85,48.41,0.12,0.05,Normal
FLOOD,28.88,74.59,2.54,3.39,Moderate
FLOOD,23.15,85.04,42.35,45.13,Extreme
FLOOD,20.61,83.45,5.93,11.14,Severe
FLOOD,25.57,52.41,1.07,1.2,Normal
FLOOD,26.33,81.98,6.26,14.52,Severe
FLOOD,25.94,93.54,8.51,12.66,Severe
FLOOD,31.62,50.12,2.79,2.84,Normal
FLOOD,30.06,50.46,1.26,1.37,Normal
FLOOD,23.4,90.13,26.07,45.35,Extreme
FLOOD,22.3,72.42,3.18,6.42,Moderate
FLOOD,24.95,93.21,3.78,14.75,Severe
FLOOD,24.38,79.6,3.33,5.62,Moderate
FLOOD,26.92,84.76,5.05,13.75,Severe
FLOOD,19.63,82.32,10.43,12.3,Severe
FLOOD,30.53,48.22,0.11,0.07,Normal
FLOOD,31.51,51.1,1.52,1.67,Normal
FLOOD,20.21,84.5,5.83,12.9,Severe
FLOOD,32.35,47.41,2.6,2.52,Normal
FLOOD,24.66,95.5,13.48,25.85,Extreme
FLOOD,21.42,92.64,11.27,13.13,Severe
FLOOD,24.63,90.51,11.04,33.02,Extreme
FLOOD,24.04,81.0,5.41,9.99,Severe
FLOOD,22.37,76.51,2.08,3.81,Moderate
FLOOD,25.07,79.5,5.18,7.07,Moderate
FLOOD,16.89,71.6,0.72,3.46,Moderate
FLOOD,29.51,44.9,1.35,1.29,Normal
FLOOD,22.83,72.89,1.53,4.33,Moderate
FLOOD,28.43,88.99,6.67,32.33,Extreme
FLOOD,17.68,79.03,1.03,4.27,Moderate
FLOOD,27.67,89.35,11.8,38.09,Extreme
FLOOD,22.94,81.24,5.17,9.48,Severe
FLOOD,30.38,45.48,0.7,1.19,Normal
FLOOD,23.59,87.77,5.77,11.72,Severe
FLOOD,32.55,48.44,0.6,1.05,Normal
FLOOD,28.25,77.02,2.53,4.8,Moderate
FLOOD,31.05,65.92,1.2,1.22,Normal
FLOOD,22.28,86.39,4.2,11.04,Severe
FLOOD,29.18,44.34,2.01,2.17,Normal
FLOOD,23.58,88.02,5.7,8.93,Severe
FLOOD,28.25,49.91,1.54,1.77,Normal
FLOOD,27.76,94.7,28.36,33.06,Extreme
FLOOD,20.75,88.67,7.03,11.45,Severe
FLOOD,19.65,94.83,3.15,8.81,Severe
FLOOD,27.02,74.33,5.57,7.25,Moderate
FLOOD,27.81,91.37,4.98,12.98,Severe
FLOOD,25.9,50.05,0.84,0.97,Normal
FLOOD,21.75,91.43,13.89,23.91,Extreme
FLOOD,24.43,99.73,27.02,30.6,Extreme
FLOOD,26.79,94.82,3.3,13.06,Severe
FLOOD,26.35,73.83,3.96,5.7,Moderate
FLOOD,24.0,93.21,18.57,22.26,Extreme
FLOOD,22.95,94.31,11.98,19.19,Extreme
FLOOD,29.1,75.48,1.61,3.41,Moderate
FLOOD,32.76,48.27,1.95,2.08,Normal
FLOOD,29.89,76.73,1.15,6.06,Moderate
FLOOD,27.89,61.76,2.46,2.92,Normal
FLOOD,22.21,76.91,1.39,7.52,Moderate
FLOOD,19.68,93.78,4.74,14.44,Severe
FLOOD,19.11,77.17,2.63,4.24,Moderate
FLOOD,20.49,90.35,25.1,39.85,Extreme
FLOOD,19.64,73.03,4.6,7.58,Moderate
FLOOD,26.37,98.27,23.84,30.66,Extreme
FLOOD,29.96,79.42,2.25,4.97,Moderate
FLOOD,27.2,65.55,2.21,2.4,Normal
FLOOD,28.88,95.78,26.21,49.68,Extreme
FLOOD,25.9,89.78,8.34,21.51,Extreme
FLOOD,19.43,89.65,4.19,9.94,Severe
FLOOD,26.25,55.91,0.35,0.32,Normal
FLOOD,29.46,85.25,6.8,18.19,Extreme
FLOOD,27.83,75.12,1.95,3.88,Moderate
FLOOD,20.94,86.08,7.82,9.56,Severe
FLOOD,28.0,47.71,1.98,2.38,Normal
FLOOD,25.72,82.54,6.28,11.65,Severe
FLOOD,28.31,79.12,2.46,7.0,Moderate
FLOOD,25.6,56.09,2.29,2.23,Normal
FLOOD,27.17,93.29,16.96,38.52,Extreme
FLOOD,20.6,93.93,15.4,23.48,Extreme
FLOOD,32.49,69.5,0.74,1.14,Normal
FLOOD,20.84,89.31,8.61,10.96,Severe
FLOOD,30.72,45.27,0.43,0.39,Normal
FLOOD,26.12,99.44,7.83,41.34,Extreme
FLOOD,29.11,69.92,1.48,1.74,Normal
FLOOD,21.57,84.2,10.39,13.36,Severe
FLOOD,16.27,76.86,0.71,3.78,Moderate
FLOOD,20.68,87.61,7.55,11.15,Severe
FLOOD,27.12,88.91,6.86,8.88,Severe
FLOOD,20.52,92.18,6.69,13.7,Severe
FLOOD,24.06,85.82,27.08,29.52,Extreme
FLOOD,27.6,81.98,5.77,9.71,Severe
FLOOD,23.61,88.16,9.82,13.88,Severe
FLOOD,26.95,86.89,14.59,18.26,Extreme
FLOOD,18.17,81.11,7.42,14.09,Severe
FLOOD,25.63,50.68,1.44,1.41,Normal
FLOOD,26.79,92.01,21.16,49.57,Extreme
FLOOD,21.04,93.05,3.61,8.71,Severe
FLOOD,25.31,86.08,11.59,29.16,Extreme
FLOOD,26.88,75.87,2.16,4.59,Moderate
FLOOD,25.83,61.02,1.42,1.46,Normal
FLOOD,31.54,69.46,0.31,0.69,Normal
FLOOD,21.06,91.46,7.91,10.33,Severe
FLOOD,22.87,87.83,38.47,43.13,Extreme
FLOOD,22.98,89.87,38.64,43.98,Extreme
FLOOD,23.73,88.06,35.36,44.7,Extreme
FLOOD,29.53,68.53,2.69,2.95,Normal
FLOOD,15.41,73.08,0.56,5.12,Moderate
FLOOD,20.44,98.15,19.74,22.84,Extreme
FLOOD,24.75,90.81,10.91,11.95,Severe
FLOOD,20.15,86.48,9.19,31.9,Extreme
FLOOD,29.85,45.24,0.04,0.4,Normal
FLOOD,16.74,79.51,3.64,6.5,Moderate
FLOOD,19.05,82.8,7.62,11.8,Severe
FLOOD,23.31,85.77,6.32,10.58,Severe
FLOOD,20.42,79.06,3.1,4.16,Moderate
FLOOD,22.64,91.15,3.96,9.76,Severe
FLOOD,32.73,51.43,2.09,2.42,Normal
FLOOD,26.33,43.35,2.71,2.7,Normal
FLOOD,19.68,71.09,2.5,4.07,Moderate
FLOOD,32.21,61.76,0.45,0.44,Normal
FLOOD,27.92,93.25,7.35,13.84,Severe
FLOOD,28.89,41.52,2.23,2.67,Normal
FLOOD,28.28,52.91,0.16,0.18,Normal
FLOOD,32.5,50.53,1.11,1.02,Normal
FLOOD,23.05,82.91,3.04,12.65,Severe
FLOOD,27.09,93.91,6.37,40.16,Extreme
